id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
375,animatie / storytelling,ntb,verdieping animatie / storytelling,verdieping animatie / storytelling,15,breda en den bosch,120,nlqf5,nog te formuleren,['ntb'],0.64,328,2,70,2025-11-18
376,the creative agency,"maatschappelijk betrokken
creatief
branding
campagne
advertising
ideel
gedragsverandering
media","""the creative agency"" is een module waarin je gaat werken aan campagnes die de wereld beter maken. je maakt kennis met branding, advertising, marketing en communicatie. in deze module ontdek je hoe je als creatief bureau succesvolle campagnes kunt ontwikkelen en een belangrijke boodschap in de maatschappij te zetten.

je werkt in een multidisciplinair creatief team als agency en werkt aan verschillende projecten tegelijk. de projecten richten zich op gedragsverandering. hoe krijg je dat voor elkaar, hoe maak je impact? hoe combineer je woord, beeld, interactiviteit, strategie en vernieuwing zo dat een boodschap écht overkomt? je wordt uitgedaagd om de essentiële principes en strategieën van branding te combineren met jullie eigen creativiteit en inzicht om zo te komen tot resultaat met impact.","""the creative agency"" is een module waarin je gaat werken aan campagnes die de wereld beter maken. je maakt kennis met branding, advertising, marketing en communicatie. in deze module ontdek je hoe je als creatief bureau succesvolle campagnes kunt ontwikkelen en een belangrijke boodschap in de maatschappij te zetten.

je werkt in een multidisciplinair creatief team als agency en werkt aan verschillende projecten tegelijk. de projecten richten zich op gedragsverandering. hoe krijg je dat voor elkaar, hoe maak je impact? hoe combineer je woord, beeld, interactiviteit, strategie en vernieuwing zo dat een boodschap écht overkomt? je wordt uitgedaagd om de essentiële principes en strategieën van branding te combineren met jullie eigen creativiteit en inzicht om zo te komen tot resultaat met impact.",30,breda en den bosch,121,nlqf6,nog te formuleren,"['maatschappelijk', 'betrokken', 'creatief', 'branding', 'campagne', 'advertising', 'ideel', 'gedragsverandering', 'media']",0.46,284,4,36,2025-11-14
377,art & activisme,"persoonlijk activisme, kritische reflectie, zoektocht naar de vorm, radiacale nuance, onthaasting, laboratorium, verfijnen , tegengeluid","persoonlijk activisme richt zich speciaal op die student die kritisch naar de wereld kijkt en het verlangen heeft om het kunstenaarschap in te zetten om bij te dragen aan relevante veranderingen. hoe verhouden de kunst, de wereld en het persoonlijke activisme zich tot elkaar? en hoe kan je als jonge kunstenaar bijdragen aan een betekenisvolle verandering? 
als student neem je naast het aanbod vooral ook tijd voor het zelfstandig zoeken naar nuances in beeld, materiaal en vorm. dit kan zowel individueel als collectief.
omdat persoonlijk engagement bij deze studenten juist het gegeven is (oftewel het uitgangspunt), ligt het accent van deze module op de zoektocht naar de vorm. 
de student werkt in verschillende vakken in verschillende vormen (podium, autonome kunst, video, fotografie enzovoort). daarin probeert de student steeds dezelfde inhoud in andere vormen uit te werken en deze te verfijnen. de zoektocht naar radicale nuance van het persoonlijke engagement krijgt uiteindelijk vorm door verfijning in beeld met als wens/doel dat persoonlijk activisme anderen kan activeren. 
op basis van ingrediënten als humor, tegengeluid en verwarring worden vormen gezocht en ontwikkeld waarin de radicale nuance zich publiekelijk kan manifesteren. de activistische benadering vraagt van alle deelnemende studenten dat de verschillende vormen van radicale nuance ook daadwerkelijk worden gedeeld in de juiste context.

vanuit de academische hoek zal aandacht besteed worden aan het belang van verbeelding met betrekking tot activisme.","persoonlijk activisme richt zich speciaal op die student die kritisch naar de wereld kijkt en het verlangen heeft om het kunstenaarschap in te zetten om bij te dragen aan relevante veranderingen. hoe verhouden de kunst, de wereld en het persoonlijke activisme zich tot elkaar? en hoe kan je als jonge kunstenaar bijdragen aan een betekenisvolle verandering? 
als student neem je naast het aanbod vooral ook tijd voor het zelfstandig zoeken naar nuances in beeld, materiaal en vorm. dit kan zowel individueel als collectief.
omdat persoonlijk engagement bij deze studenten juist het gegeven is (oftewel het uitgangspunt), ligt het accent van deze module op de zoektocht naar de vorm. 
de student werkt in verschillende vakken in verschillende vormen (podium, autonome kunst, video, fotografie enzovoort). daarin probeert de student steeds dezelfde inhoud in andere vormen uit te werken en deze te verfijnen. de zoektocht naar radicale nuance van het persoonlijke engagement krijgt uiteindelijk vorm door verfijning in beeld met als wens/doel dat persoonlijk activisme anderen kan activeren. 
op basis van ingrediënten als humor, tegengeluid en verwarring worden vormen gezocht en ontwikkeld waarin de radicale nuance zich publiekelijk kan manifesteren. de activistische benadering vraagt van alle deelnemende studenten dat de verschillende vormen van radicale nuance ook daadwerkelijk worden gedeeld in de juiste context.

vanuit de academische hoek zal aandacht besteed worden aan het belang van verbeelding met betrekking tot activisme.",15,den bosch,117,nlqf5,je leert je eigen vorm vinden om je eigen stem en je wereldbeschouwing aan de wereld te presenteren,"['persoonlijk', 'activisme', 'kritische', 'reflectie', 'zoektocht', 'naar', 'de', 'vorm', 'radiacale', 'nuance', 'onthaasting', 'laboratorium', 'verfijnen', 'tegengeluid']",0.36,101,4,24,2025-09-08
378,innovatie door service design,"samen leren met proffesionals uit de wereld van service design, externe validatie, design thinking, servie design, zorg innovatie","in deze unieke leergang werken studenten en werknemers uit de zorg samen onder begeleidng van docenten en expert uit de zorg en uit servicedesign aan vraagstukken in de zorg. tijd is gelijkelijk verdeeld tussen theorie en veldwerk. de samenwerking met de design academie garandeert een extren diploma en state of the art onderwijs. wil je meer verdieping? in deel 2 ( 2e semester is er ruimte voor verdieping waarin de kennis en vaardigheden uit deel 1 verder verdiept en toepast. met jouw opdrachtgever start je je eigen innovatie traject en wordt je vanuit de leergang gecoached en volg je verdiepende workhops, colleges en intercollegiale intervisies.","in deze unieke leergang werken studenten en werknemers uit de zorg samen onder begeleidng van docenten en expert uit de zorg en uit servicedesign aan vraagstukken in de zorg. tijd is gelijkelijk verdeeld tussen theorie en veldwerk. de samenwerking met de design academie garandeert een extren diploma en state of the art onderwijs. wil je meer verdieping? in deel 2 ( 2e semester is er ruimte voor verdieping waarin de kennis en vaardigheden uit deel 1 verder verdiept en toepast. met jouw opdrachtgever start je je eigen innovatie traject en wordt je vanuit de leergang gecoached en volg je verdiepende workhops, colleges en intercollegiale intervisies.",30,breda en den bosch,122,nlqf6,je leert sytemen in de zorg te herontwerpen waardoor ze duurzamer worden,"['samen', 'leren', 'met', 'proffesionals', 'uit', 'de', 'wereld', 'van', 'service', 'design', 'externe', 'validatie', 'design', 'thinking', 'servie', 'design', 'zorg', 'innovatie']",0.88,67,5,48,2025-09-26
379,creative ai,"ai, creatieve sector, makerschap, originaliteit, ethiek, performatieviteit","gezamenlijk onderzoek naar creatieve, artistieke en performatieve mogelijkheden en impact van ai op de praktijk van de kunstenaar en ontwerper. de (generatieve) ai evolueert razendsnel en heeft een enorme (en nog onbekende) invloed op de beroepen binnen de creatieve sector. in co-creatie met finse docenten en studenten gaan we samen dit gebied verkennen, kennis opbouwen en visie ontwikkelen. we doen samen interdisciplinair onderzoek naar hoe kunstenaars en ontwerpers ai kunnen gebruiken in hun creatieve en artistieke proces. we benaderen de mogelijke waarde van ai vanuit verschillende perspectieven: technologisch, performatief, fysiek, virtueel en ethisch, filosofisch en economisch. we ontwikkelen en delen kennis en wisselen best practices uit.","gezamenlijk onderzoek naar creatieve, artistieke en performatieve mogelijkheden en impact van ai op de praktijk van de kunstenaar en ontwerper. de (generatieve) ai evolueert razendsnel en heeft een enorme (en nog onbekende) invloed op de beroepen binnen de creatieve sector. in co-creatie met finse docenten en studenten gaan we samen dit gebied verkennen, kennis opbouwen en visie ontwikkelen. we doen samen interdisciplinair onderzoek naar hoe kunstenaars en ontwerpers ai kunnen gebruiken in hun creatieve en artistieke proces. we benaderen de mogelijke waarde van ai vanuit verschillende perspectieven: technologisch, performatief, fysiek, virtueel en ethisch, filosofisch en economisch. we ontwikkelen en delen kennis en wisselen best practices uit.",30,breda en den bosch,116,nlqf6,"analyseren en interpreteren van de rol en impact van ai op de creatieve industrie en hoe dit de positie van de maker beïnvloedt. 
 ontwikkelen en toepassen van strategieën om ai te integreren in het eigen creatieve proces, rekening houdend met ethische, sociale en culturele overwegingen. 
evalueren van bestaande ai-gestuurde projecten in de creatieve industrie en reflecteren op hun succes, uitdagingen en implicaties voor makers. 
ontwerpen, implementeren en presenteren van een eigen ai-gestuurd project dat aantoont hoe ai de positie van de maker in de creatieve industrie kan versterken.","['ai', 'creatieve', 'sector', 'makerschap', 'originaliteit', 'ethiek', 'performatieviteit']",0.89,448,1,23,2025-10-21
380,game changers,"serious gaming, impact maken, nieuwe technologien, state of the art, aandacht voor ethiek en maatschappij, gamepipeline","de impact incubator biedt creative makers, techneuten en ondernemers een plek om impact te maken, samen te werken en sociaal te ondernemen. dit doen we door serious games te ontwikkelen voor maatschappelijke doeleinden. het richt zich in bijzonder op studenten en afgestudeerden van avans , buas en curio. de impact incubator onderscheidt zich door in projectverband sociale en ecologische innovaties te realiseren in een quadruple helix samenwerking met gemeente, bedrijven, instellingen en bewoners","de impact incubator biedt creative makers, techneuten en ondernemers een plek om impact te maken, samen te werken en sociaal te ondernemen. dit doen we door serious games te ontwikkelen voor maatschappelijke doeleinden. het richt zich in bijzonder op studenten en afgestudeerden van avans , buas en curio. de impact incubator onderscheidt zich door in projectverband sociale en ecologische innovaties te realiseren in een quadruple helix samenwerking met gemeente, bedrijven, instellingen en bewoners",30,breda,123,nlqf6,"je leert de wereld van serious gaming kennen terwijl je werkt in een echte game pipeline samen et de leden van jouw guild( onderdeel pipeline) je leert toepassen binnen de begrenzing van data en performance, je leert in een pipeline samenwerken aan een eindresultaat terwijl je werkt aan authentieke opdrachten","['serious', 'gaming', 'impact', 'maken', 'nieuwe', 'technologien', 'state', 'of', 'the', 'art', 'aandacht', 'voor', 'ethiek', 'en', 'maatschappij', 'gamepipeline']",0.71,355,1,29,2025-10-15
381,innovation management & creative leadership,"interventies in veranderprocessen, appreciative inquiry, gedrag, organisatiekunde","the minor innovation management and creative leadership explains innovation as the process of generating sustainable new products, services or business opportunities. however, it is not just the invention of a new idea that is important but also “bringing it onto the market”. we teach students to put the ideas into practice and exploit them in a manner that leads to successful entrepreneurial activities as well as a more sustainable future. this requires leadership and a creative approach.","the minor innovation management and creative leadership explains innovation as the process of generating sustainable new products, services or business opportunities. however, it is not just the invention of a new idea that is important but also “bringing it onto the market”. we teach students to put the ideas into practice and exploit them in a manner that leads to successful entrepreneurial activities as well as a more sustainable future. this requires leadership and a creative approach.",30,breda,121,nlqf6,"je gaat in deze minor in kleine projectgroepen bij een opdrachtgever uit de praktijk aan de slag. je onderzoekt het vraagstuk aan de hand van appreciative inquiry. je betrekt zoveel mogelijk stakeholders om te achterhalen wat er daadwerkelijk aan de hand is en wat eraan gedaan kan worden. je gaat experimenteren met de verschillende rollen van facilitator, onderzoeker en coach.
 

in de ondersteunende werkcolleges, coachmomenten, gastcolleges en trainingen staan volgende onderwerpen centraal:
psychologie en gedrag: motivatie en drijfveren, weerstand, betekenisgeven, groepsdynamica, leiderschap en gedragsbeïnvloeding.
organisatiekunde: cultuur, structuur en het proces van verandering.
jij als begeleider van veranderingen: interpersoonlijke communicatie, waarderend onderzoeken, ontwerpen van praktische werkvormen, procesadviseren en begeleiden van groepen.
appreciative inquiry: waarderende vragen stellen, ophalen van succesverhalen, het helpen vertalen van problemen in ambities, het concreet maken van veranderstappen.","['interventies', 'in', 'veranderprocessen', 'appreciative', 'inquiry', 'gedrag', 'organisatiekunde']",0.52,238,3,75,2025-10-14
382,veranderen is mensenwerk,oud model van economische groei,"als professional die veranderingsprocessen kan managen en interventies kan inzetten, ben je een gewaardeerd persoon in organisaties die dynamisch moeten reageren op de veranderende omgeving. met deze minor ontwikkel je je tot een professional die in staat is om succesvol veranderingen te begeleiden in organisaties.

 

met de minor ""veranderen is mensenwerk"" leer je hoe je veranderingsprocessen effectief kunt begeleiden. je krijgt inzicht in de psychologische en groepsdynamische processen. je ontwikkelt vaardigheden om de dynamiek van een organisatie te begrijpen en werkvormen toe te passen om in verbinding met mensen aan de slag te gaan. bovendien leer je hoe je met behulp van appreciative inquiry een organisatie kunt begeleiden bij een verandering. deze aanpak versterkt het vermogen en vertrouwen van de mensen in de organisatie, zodat zij gezamenlijk hun ambitie kunnen bereiken.

je werkt samen met studenten van andere opleidingen en hogescholen, een mooie interdisciplinaire ervaring.","als professional die veranderingsprocessen kan managen en interventies kan inzetten, ben je een gewaardeerd persoon in organisaties die dynamisch moeten reageren op de veranderende omgeving. met deze minor ontwikkel je je tot een professional die in staat is om succesvol veranderingen te begeleiden in organisaties.

 

met de minor ""veranderen is mensenwerk"" leer je hoe je veranderingsprocessen effectief kunt begeleiden. je krijgt inzicht in de psychologische en groepsdynamische processen. je ontwikkelt vaardigheden om de dynamiek van een organisatie te begrijpen en werkvormen toe te passen om in verbinding met mensen aan de slag te gaan. bovendien leer je hoe je met behulp van appreciative inquiry een organisatie kunt begeleiden bij een verandering. deze aanpak versterkt het vermogen en vertrouwen van de mensen in de organisatie, zodat zij gezamenlijk hun ambitie kunnen bereiken.

je werkt samen met studenten van andere opleidingen en hogescholen, een mooie interdisciplinaire ervaring.",30,den bosch,119,nlqf6,ntb,"['oud', 'model', 'van', 'economische', 'groei']",0.53,483,5,36,2025-09-05
383,living lab de kleine aarde,"scenario schrijven, storyboarden, character designer, worldbuilder, concept art, title design, panelling, illustration, animation, coloring, editorial, graphic design, art direction, 3d-models, producer",dit betreft de oude minor take back the economy; het huidige model van economische groei voldoet niet meer. welke alternatieven zijn er voorhanden en wat is daar voor nodig,dit betreft de oude minor take back the economy; het huidige model van economische groei voldoet niet meer. welke alternatieven zijn er voorhanden en wat is daar voor nodig,30,breda,118,nlqf6,"ideeën helder te krijgen en deze als maker tot een overtuigende vertelling te ontwikkelen.
je (technische en overige) vaardigheden bij de jouw gekozen rol verder te ontwikkelen.
een pitchpakket te produceren waarin verhaal, artwork, productieplan en prototype gecombineerd worden en dat professioneel te
verschillende vormen van beeldend en theoretisch onderzoek doen.
verantwoorde keuzes maken voor de meeste relevante uitingsvorm van je idee.
reflecteren op je artistieke en professionele positie.
in een studiosetting met een team samenwerken en je rol vinden.
productief omgaan met feedback van professionals.
werken met een grote mate van zelfstandigheid.","['scenario', 'schrijven', 'storyboarden', 'character', 'designer', 'worldbuilder', 'concept', 'art', 'title', 'design', 'panelling', 'illustration', 'animation', 'coloring', 'editorial', 'graphic', 'design', 'art', 'direction', '3dmodels', 'producer']",0.77,126,4,29,2025-11-09
384,development for storytelling,"stopmotion, animatie, poppen bouwen, schaal, storytelling","deze minor van st. joost school of art & design draait om het uitontwikkelen van een concept in visual storytelling. hoe ontwikkel je een idee voor een graphic novel, story book, tv-serie, film of vr-ervaring, of zelfs iets wat op al deze platformen werkt? of het nu gaat om een fantasierijk eigen verhaal, een geëngageerd betoog, of een educatieve vertelling, je leert de kern van een verhaal goed en overtuigend te vertellen, in beeld te brengen en zodoende het idee naar een professioneel pitchpakket uit te werken. hoe maak je zo’n voorstel, waarin de combinatie van het verhaal, artwork, een productieplan en prototype laat zien dat het klaar is om gerealiseerd te worden?","deze minor van st. joost school of art & design draait om het uitontwikkelen van een concept in visual storytelling. hoe ontwikkel je een idee voor een graphic novel, story book, tv-serie, film of vr-ervaring, of zelfs iets wat op al deze platformen werkt? of het nu gaat om een fantasierijk eigen verhaal, een geëngageerd betoog, of een educatieve vertelling, je leert de kern van een verhaal goed en overtuigend te vertellen, in beeld te brengen en zodoende het idee naar een professioneel pitchpakket uit te werken. hoe maak je zo’n voorstel, waarin de combinatie van het verhaal, artwork, een productieplan en prototype laat zien dat het klaar is om gerealiseerd te worden?",30,den bosch,120,nlqf6,"een verhaal te ontwerpen voor een stopmotionfilm met meerdere karakters.
storyboarding, kadrering en camerastandpunten gebruiken.
bouwtekeningen maken voor karakters en set.
animeerbare poppen te bouwen.
een set op schaal te ontwerpen en te bouwen.
experimenteren met animatie basisvaardigheden voor stopmotion.
uitlichten van je set (tabletop fotografie).
werken met een animatiecamera en het programma dragon frame.
je rol te onderzoeken in een team.
samenwerken in een team.
basis editing, nabewerking en geluidsmontage.","['stopmotion', 'animatie', 'poppen', 'bouwen', 'schaal', 'storytelling']",0.88,327,1,36,2025-09-26
385,stopmotion,"graphic novel, interactive, webtoon, storytelling, illustratie","in deze minor van st.joost school of art & design ga je in teamverband een stopmotion animatiefilm maken.

je onderzoekt je rol in het team van een stopmotion-productie en maakt samen een verhaal, waarin meerdere karakters een rol kunnen spelen. je maakt poppen en decor op schaal en maakt daarbij gebruik van de goed uitgeruste werkplaatsen van de academie (bijv. houtwerkplaats, 3d printshop). je volgt lessen animatie, ontdekt wat belangrijk is voor een verhaal in stopmotion en experimenteert met passend design en materiaalgebruik. samen met je team doorloop je het hele proces van storyboard tot opname en ten slotte tot première.

deze minor is voor studenten die houden van verhalen vertellen en van analoog werken en voor iedereen die het productieproces van een stopmotion-film wil doorlopen. en wanneer heb je nu de kans in je studie om een half jaar aan een animatie te werken?","in deze minor van st.joost school of art & design ga je in teamverband een stopmotion animatiefilm maken.

je onderzoekt je rol in het team van een stopmotion-productie en maakt samen een verhaal, waarin meerdere karakters een rol kunnen spelen. je maakt poppen en decor op schaal en maakt daarbij gebruik van de goed uitgeruste werkplaatsen van de academie (bijv. houtwerkplaats, 3d printshop). je volgt lessen animatie, ontdekt wat belangrijk is voor een verhaal in stopmotion en experimenteert met passend design en materiaalgebruik. samen met je team doorloop je het hele proces van storyboard tot opname en ten slotte tot première.

deze minor is voor studenten die houden van verhalen vertellen en van analoog werken en voor iedereen die het productieproces van een stopmotion-film wil doorlopen. en wanneer heb je nu de kans in je studie om een half jaar aan een animatie te werken?",30,breda,120,nlqf6,"in deze minor leer je een graphic novel te ontwikkelen, in een ontwerpproces van begin tot einde:

brainstormen op je eerste verhaalideeën.
je verhaalideeën uitwerken tot een concept.
een kort script schrijven op basis van je verhaalconcept.
een storyboard en thumbnails schetsen aan de hand van je script.
style sheets en character design ontwerpen.
pagina’s panellen tot één geheel.
in de eindproductie een aantal spreads uitwerken tot een volwaardig eindresultaat.
verder leer je de betekenis van characters, achtergronden (world building,) camera-standpunt, verhaallijn, kaders, kleurpalet, flow en lettering, establishing shot en cover design. en je leert hoe de uitvoering, lijnvoering, kleurgebruik, vormgeving en stijl bijdragen aan de tone of voice van de strip.","['graphic', 'novel', 'interactive', 'webtoon', 'storytelling', 'illustratie']",0.88,288,4,79,2025-12-27
386,graphic novel,"creative writing, storytelling skills, genres, hybrid forms, visual art","een graphic novel is een strip met een meer volwassen karakter, qua thematiek, gelaagdheid en verhaal en is soms fictief maar het kan ook (auto)biografisch van karakter zijn. je zou het als de literatuur-kant van het beeldverhaal kunnen zien, met échte verhalen over échte mensen die échte levens leiden in een échte wereld. je zult van een graphic-novel-personage zelden een reeks of een serie zoals bij de superhelden aantreffen.
in het programma van deze minor van st.joost school of art & design volg je de gehele ontwerpmethodiek van een graphic novel, van je eerste ideeën tot de uiteindelijke productie. je wordt begeleid door docenten van de kunstacademie st.joost. het accent in de begeleiding ligt op de kwaliteit en ontwikkeling van zowel het verhalende als de verbeeldende kant. ook moderne (online) vorm zoals de interactive graphic novel en webtoons komen aan bod.
je brengt een voorstel in de vorm van een idee, concept, of liefst al iets van een script en voorstudies, eventueel zelfs thumbnails voor je graphic novel mee. het kan een eigen verhaal zijn dat je wil vertellen in stripvorm, of een bestaand verhaal dat je aantrekkelijk vindt om te verbeelden. het kan gaan om zowel fictie- als non-fictie.","een graphic novel is een strip met een meer volwassen karakter, qua thematiek, gelaagdheid en verhaal en is soms fictief maar het kan ook (auto)biografisch van karakter zijn. je zou het als de literatuur-kant van het beeldverhaal kunnen zien, met échte verhalen over échte mensen die échte levens leiden in een échte wereld. je zult van een graphic-novel-personage zelden een reeks of een serie zoals bij de superhelden aantreffen.
in het programma van deze minor van st.joost school of art & design volg je de gehele ontwerpmethodiek van een graphic novel, van je eerste ideeën tot de uiteindelijke productie. je wordt begeleid door docenten van de kunstacademie st.joost. het accent in de begeleiding ligt op de kwaliteit en ontwikkeling van zowel het verhalende als de verbeeldende kant. ook moderne (online) vorm zoals de interactive graphic novel en webtoons komen aan bod.
je brengt een voorstel in de vorm van een idee, concept, of liefst al iets van een script en voorstudies, eventueel zelfs thumbnails voor je graphic novel mee. het kan een eigen verhaal zijn dat je wil vertellen in stripvorm, of een bestaand verhaal dat je aantrekkelijk vindt om te verbeelden. het kan gaan om zowel fictie- als non-fictie.",30,breda,120,nlqf6,"you will establish a practice of writing:

you will learn how to step over the blank page.
how to resource materials for story building.
you will learn and apply editing to your and others projects.
how to develop the right tools for your work.
you will learn how to give feedback and reflect on your process.

you will learn how the editing process is an integral to your practice.","['creative', 'writing', 'storytelling', 'skills', 'genres', 'hybrid', 'forms', 'visual', 'art']",0.81,136,1,39,2025-11-07
387,write loud,"digitale en analoge tekenvaardigheden, waarneming,  verbeelding, compositie en beeldopbouw","the minor creative writing write loud of st.joost school of art & design is created for students looking to establish solid storytelling skills in written form. to help students further define, articulate, and expand their practice through creative writing.
in this course we let you see what a writing discipline can offer a developing visual/media practice. this creative writing practice will be in the form, genre and manner that suits you as a creator with an emphasis on our program’s unique perspectives from the intersection between the literary field and photography, film and the digital, in an interdisplinary approach with watershed production house.
this minor is acutely geared towards students who have a solid background in the use of image to convey meaning. this minor is really well suited to students with a background in or affinity for: visual arts, media production, design, illustration, etc. however, we are very open to applications from students in all study areas. we encourage students to write in hybrid forms, across genres and within multiple art forms. this course understands that it is essential for today’s creators to have a strong capacity for telling in order to show.
this program opens with watershed in the form of a “camp”, guest lecturers and workshops, to get you out of your head and into the writing. throughout the course you will meet for guest speakers, workshops and inspiration days developed together with watershed. these will be both onsite, online and/or off-site. there is a solid focus on what the group dynamic can bring to your individual work so be prepared to get close. this is a practice that builds on the understanding that media creation is a collective experience.
during the minor you will develop a media (mixed or hybrid) project with writing as the foundation. under guidance you will select the form that works best for your theme, material, goals. the forms are open, and you will learn which form best supports your story (think of podcasts, chapbooks, graphic novels, short stories in video and more.","the minor creative writing write loud of st.joost school of art & design is created for students looking to establish solid storytelling skills in written form. to help students further define, articulate, and expand their practice through creative writing.
in this course we let you see what a writing discipline can offer a developing visual/media practice. this creative writing practice will be in the form, genre and manner that suits you as a creator with an emphasis on our program’s unique perspectives from the intersection between the literary field and photography, film and the digital, in an interdisplinary approach with watershed production house.
this minor is acutely geared towards students who have a solid background in the use of image to convey meaning. this minor is really well suited to students with a background in or affinity for: visual arts, media production, design, illustration, etc. however, we are very open to applications from students in all study areas. we encourage students to write in hybrid forms, across genres and within multiple art forms. this course understands that it is essential for today’s creators to have a strong capacity for telling in order to show.
this program opens with watershed in the form of a “camp”, guest lecturers and workshops, to get you out of your head and into the writing. throughout the course you will meet for guest speakers, workshops and inspiration days developed together with watershed. these will be both onsite, online and/or off-site. there is a solid focus on what the group dynamic can bring to your individual work so be prepared to get close. this is a practice that builds on the understanding that media creation is a collective experience.
during the minor you will develop a media (mixed or hybrid) project with writing as the foundation. under guidance you will select the form that works best for your theme, material, goals. the forms are open, and you will learn which form best supports your story (think of podcasts, chapbooks, graphic novels, short stories in video and more.",15,den bosch,116,nlqf5,"•	digitale en analoge tekenvaardigheden te verdiepen en/of te verbreden.
•	tekenen zowel naar de waarneming (modeltekenen, anatomie en perspectief) als vanuit de verbeelding.
•	de communicatieve werking van je tekeningen te versterken.
•	creatieve competenties te verdiepen.
•	de narratieve zeggingskracht van je werk te versterken.
•	met materialen te experimenteren.
•	beeldend onderzoek dat je verder helpt in wat je wilt ontwikkelen.
•	compositie en beeldopbouw.
•	over de werking in verschillende schalen.
•	de wisselwerking van 2 d en 3d (maquettes bouwen) .","['digitale', 'en', 'analoge', 'tekenvaardigheden', 'waarneming', 'verbeelding', 'compositie', 'en', 'beeldopbouw']",0.72,402,1,43,2025-09-19
388,tekenen,"performance art, podiumkunst, lichaam, artistieke werkplaats, dramaturgie","in deze minor van st.joost school of art & design word je aangezet en uitgedaagd tot verdieping en verbreding van je tekenvaardigheden, denk daarbij aan het tekenen naar de waarneming (model-, portret-, anatomie en perspectieftekenen) en visualisatie, maar ook aan het intuïtief en associatief tekenen. je wordt aangemoedigd de wereld telkens met andere ogen te zien, je eigen minor kleur te geven en tekenen als communicatiemiddel in te zetten. je leert het maken van keuzes en verantwoording te nemen voor het eigen leer- en maakproces. de minor staat in het teken van het maken. je wordt begeleid door docenten tekenvaardigheid van kunstacademie st.joost. voor het tekenen op grote schaal wordt samengewerkt met blind walls gallery in breda.","in deze minor van st.joost school of art & design word je aangezet en uitgedaagd tot verdieping en verbreding van je tekenvaardigheden, denk daarbij aan het tekenen naar de waarneming (model-, portret-, anatomie en perspectieftekenen) en visualisatie, maar ook aan het intuïtief en associatief tekenen. je wordt aangemoedigd de wereld telkens met andere ogen te zien, je eigen minor kleur te geven en tekenen als communicatiemiddel in te zetten. je leert het maken van keuzes en verantwoording te nemen voor het eigen leer- en maakproces. de minor staat in het teken van het maken. je wordt begeleid door docenten tekenvaardigheid van kunstacademie st.joost. voor het tekenen op grote schaal wordt samengewerkt met blind walls gallery in breda.",30,den bosch,120,nlqf6,nog te formuleren,"['performance', 'art', 'podiumkunst', 'lichaam', 'artistieke', 'werkplaats', 'dramaturgie']",0.35,405,1,24,2025-11-23
389,performance in art,"biobased materialen, onderzoek, antropoceen, post-human perspective","het minorprogramma performance art is een verdiepend programma voor beeldend kunstenaars en uitvoerend podiumkunstenaars die zichzelf en/of hun lichaam als essentieel onderdeel zien van het kunstwerk. het minorprogramma wordt opgezet als academische/artistieke werkplaats waarin de vraag van de individuele kunstenaar beginpunt is voor het onderzoek naar de mogelijkheden van zichzelf/het lichaam in performance. het individuele onderzoek wordt gevoed door de rijke geschiedenis van performance art, waarin het kunstwerk ontstaat vanuit de artistieke dynamiek tussen kunstenaar, omgeving en publiek.
het programma kent een sterke verbinding tussen beeldende kunst, nieuwe media, en theater, en verwante kennisgebieden als filosofie, dramaturgie en kunstgeschiedenis.","het minorprogramma performance art is een verdiepend programma voor beeldend kunstenaars en uitvoerend podiumkunstenaars die zichzelf en/of hun lichaam als essentieel onderdeel zien van het kunstwerk. het minorprogramma wordt opgezet als academische/artistieke werkplaats waarin de vraag van de individuele kunstenaar beginpunt is voor het onderzoek naar de mogelijkheden van zichzelf/het lichaam in performance. het individuele onderzoek wordt gevoed door de rijke geschiedenis van performance art, waarin het kunstwerk ontstaat vanuit de artistieke dynamiek tussen kunstenaar, omgeving en publiek.
het programma kent een sterke verbinding tussen beeldende kunst, nieuwe media, en theater, en verwante kennisgebieden als filosofie, dramaturgie en kunstgeschiedenis.",30,breda,117,nlqf6,"•	hoe je met biobased materialen kunt experimenteren en met levende organismen, zoals schimmels, algen, planten en bacteriën, kunt samenwerken.
•	de artistieke- en ontwerpvraagstukken herkennen die bij biobased art & design horen.
•	artistiek- en/of designonderzoek te doen ten behoeve van deze vraagstukken.
•	hoe je tot werk of ontwerpoplossingen kunt komen in de richting van biobased art & design.
•	de maatschappelijke context rondom biobased art & design analyseren.","['biobased', 'materialen', 'onderzoek', 'antropoceen', 'posthuman', 'perspective']",0.41,138,5,53,2025-12-06
